code,name,city,country,latitude,longitude,elevation
HEN,Hernesaari Heliport,Helsinki,Finland,60.1478,24.9244,7
HER,Nikos Kazantzakis,Heraklion,Greece,35.339719,25.180297,115
HEW,Athen Helenikon Airport,Athens,Greece,37.8933,23.7261,69
HFA,Haifa,Haifa,Israel,32.809444,35.043056,28
HFS,Hagfors Airport,Hagfors,Sweden,60.020064,13.578908,474
HGA,Egal Intl,Hargeisa,Somalia,9.518167,44.088758,4423
HGH,Xiaoshan,Hangzhou,China,30.229503,120.434453,23
HHR,Jack Northrop Fld Hawthorne Muni,Hawthorne,United States,33.922839,-118.335186,66
HIB,Chisholm Hibbing,Hibbing,United States,47.3866,-92.838994,1353
HIF,Hill Afb,Ogden,United States,41.123939,-111.973039,4789
HII,Lake Havasu City Airport,Lake Havasu City,United States,34.5711111,-114.3582778,783
HIL,Shilavo Airport,Shilavo,Ethiopia,6.08333,44.7667,1296
HIW,Hiroshima-Nishi,Hiroshima,Japan,34.367,132.408,9
HKV,Uzundzhovo,Haskovo,Bulgaria,41.976375,25.589817,160
HLG,Wheeling Ohio County Airport,Wheeling,United States,40.175,-80.6463,1195
HLT,Hamilton Airport,Hamilton,Australia,-37.648889,142.065278,803
HLZ,Hamilton,Hamilton,New Zealand,-37.866661,175.332056,172
HMA,Khanty Mansiysk Airport,Khanty-Mansiysk,Russia,61.028479,69.086067,76
HMI,Hami Airport,Hami,China,42.8414,93.6692,0
HMJ,Khmeinitskiy,Khmeinitskiy,Ukraine,49.366,26.933,351
HMN,Holloman Afb,Alamogordo,United States,32.852519,-106.106525,4093
HMV,Hemavan Airport,Hemavan,Sweden,65.806111,15.082778,1503
HND,Tokyo Intl,Tokyo,Japan,35.552258,139.779694,35
HNM,Hana,Hana,United States,20.795636,-156.014439,78
HNS,Haines Airport,Haines,United States,59.2438,-135.524,15
HOQ,Hof Plauen,Hof,Germany,50.288836,11.854919,1960
HRI,Mattala Rajapaksa Intl.,Mattala,Sri Lanka,6.284467,81.124128,157
HRJ,Chaurjhari,Chaurjhari,Nepal,28.0,83.833,4000
HRL,Valley Intl,Harlingen,United States,26.2285,-97.654389,36
HSL,Huslia Airport,Huslia,United States,65.697778,-156.351389,213
HUA,Redstone Aaf,Redstone,United States,34.678653,-86.684781,685
HUW,Humaita Airport,Humaita,Brazil,-7.532222,-63.072222,230
HVA,Analalava,Analalava,Madagascar,-14.629694,47.763783,345
